T,sigma,H,Best Beta,Average Error
3.1,0.45,96,0.6527999999999943,0.0009016528234773399
3.1,0.45,97,0.6682999999999926,0.00314459874181518
3.1,0.45,98,0.6864999999999906,0.0014410871944803023
3.1,0.45,99,0.7073999999999883,0.0003895785942556544
3.1,0.5,90,0.6000999999999891,0.0007155592522684491
3.1,0.5,91,0.6053999999999885,0.0003269607917865404
3.1,0.5,92,0.6137999999999876,0.0013837434658145321
3.1,0.5,93,0.6214999999999867,0.001817232475644642
3.1,0.5,94,0.6327999999999855,0.002760759139846774
3.1,0.5,95,0.6453999999999841,0.0011206469334774402
3.1,0.5,96,0.6586999999999936,0.0018329747896613084
3.1,0.5,97,0.6726999999999921,0.0017189525292104794
3.1,0.5,98,0.6906999999999901,0.0010150264621416353
3.1,0.5,99,0.709599999999988,0.002462837302534148
3.1,0.55,90,0.6026999999999888,0.0004515674785441809
3.1,0.55,91,0.6113999999999878,0.0026972258226615068
3.1,0.55,92,0.619399999999987,0.003053899418386616
3.1,0.55,93,0.6291999999999859,0.001021154346187151
3.1,0.55,94,0.6409999999999846,9.404404030102566e-05
3.1,0.55,95,0.6508999999999945,0.0018531286099102956
3.1,0.55,96,0.6635999999999931,0.003731723069948739
3.1,0.55,97,0.6766999999999916,0.0012579680995880211
3.1,0.55,98,0.6940999999999897,0.001284976595302209
3.1,0.55,99,0.7118999999999878,0.0030754806438889177
3.1,0.6,90,0.6088999999999881,0.0007216320104394398
3.1,0.6,91,0.6169999999999872,0.003120547522507094
3.1,0.6,92,0.6275999999999861,0.0019558810397198867
3.1,0.6,93,0.637499999999985,0.0020461529758330726
3.1,0.6,94,0.6450999999999841,0.00048559511783978634
3.1,0.6,95,0.6557999999999939,0.004067289387897745
3.1,0.6,96,0.6666999999999927,0.0033914421836001665
3.1,0.6,97,0.6818999999999911,0.0006875414169725361
3.1,0.6,98,0.6975999999999893,0.004648971458479773
3.1,0.6,99,0.7127999999999877,0.004064659648035049
3.2,0.2,90,0.5882999999999904,8.44297675055467e-06
3.2,0.2,91,0.5877999999999904,0.0009242357082790292
3.2,0.2,92,0.5861999999999906,0.0012404449696831574
3.2,0.2,93,0.5878999999999904,0.0005684840871191427
3.2,0.2,94,0.5903999999999902,0.00022953698476418355
3.2,0.2,95,0.5945999999999897,0.000908662074331857
3.2,0.2,96,0.6057999999999885,0.0008638912854350932
3.2,0.2,97,0.6227999999999866,9.990863617298013e-05
3.2,0.2,98,0.6477999999999838,0.0022312546573855082
3.2,0.2,99,0.6849999999999907,0.0035168646380369082
3.2,0.25,90,0.5872999999999905,3.769150234603988e-06
3.2,0.25,91,0.5889999999999903,0.0008289940350859801
3.2,0.25,92,0.5895999999999902,0.0010880964409930713
