confidence_interval,option_price,standard_error,m,S0,K,H,q,confidence_level,n_paths,r,sigma,T
9.763960484405814,22.971729245410458,4.9817040320244095,50,100,100,85,0,0.95,100,0.1,0.4,1.8
8.363972526085796,17.414073726639355,4.267411336157064,50,100,100,85,0,0.95,100,0.1,0.4,1.9000000000000001
6.756660942947613,16.398680642421485,3.447339336969094,50,100,100,85,0,0.95,100,0.1,0.4,2
9.473543042890947,21.861516307409623,4.833529145237895,50,100,100,85,0,0.95,100,0.1,0.4,2.1
10.078641145547179,25.75996169819868,5.14225833997268,50,100,100,85,0,0.95,100,0.1,0.4,2.2
12.872900437515243,28.145361171279422,6.567927032871543,50,100,100,85,0,0.95,100,0.1,0.4,2.3000000000000003
9.421713978042058,22.820175078906974,4.8070852588921715,50,100,100,85,0,0.95,100,0.1,0.4,2.4000000000000004
5.866090034646386,13.889913756345981,2.992958075208196,50,100,100,85,0,0.95,100,0.1,0.4,2.5000000000000004
12.195817408047619,27.410837779069865,6.222470159781849,50,100,100,85,0,0.95,100,0.1,0.4,2.6000000000000005
11.25952803076537,16.7897553230712,5.744762719916841,50,100,100,85,0,0.95,100,0.1,0.4,2.7
6.47074324242275,13.925077671246143,3.3014602785883556,50,100,100,85,0,0.95,100,0.1,0.4,2.8000000000000003
11.425239761668179,28.844366898939693,5.829311074993731,50,100,100,85,0,0.95,100,0.1,0.4,2.9000000000000004
13.88882660601159,32.80799922447388,7.086266235280282,50,100,100,85,0,0.95,100,0.1,0.4,3.0000000000000004
15.959848914792975,31.069818261810575,8.14292968681171,50,100,100,85,0,0.95,100,0.1,0.4,3.1000000000000005
15.30144824268077,30.23920230318854,7.807004803851827,50,100,100,85,0,0.95,100,0.1,0.4,3.2
12.13143471326427,25.036228279756806,6.189621242510311,50,100,100,85,0,0.95,100,0.1,0.4,3.3000000000000003
12.984524855917202,31.136504781163286,6.62487931326161,50,100,100,85,0,0.95,100,0.1,0.4,3.4000000000000004
13.057817441854278,31.849073339466475,6.662274176899513,50,100,100,85,0,0.95,100,0.1,0.4,3.5000000000000004
19.287281473936932,30.30597474756824,9.840630555496197,50,100,100,85,0,0.95,100,0.1,0.4,3.6000000000000005
9.333990674043827,14.945457889377307,4.762327648706382,50,100,100,85,0,0.95,100,0.1,0.4,3.7
14.519935428788754,26.276215902809163,7.408266449445068,50,100,100,85,0,0.95,100,0.1,0.4,3.8000000000000003
12.560151964206792,29.86311270921444,6.40835855315693,50,100,100,85,0,0.95,100,0.1,0.4,3.9000000000000004
15.678234587705928,36.43488533724607,7.999246267469118,50,100,100,85,0,0.95,100,0.1,0.4,4
13.001861474013154,26.399333291119383,6.6337246891117285,50,100,100,85,0,0.95,100,0.1,0.4,4.1000000000000005
26.41881356517329,30.2264346491453,13.479234196935007,50,100,100,85,0,0.95,100,0.1,0.4,4.2
21.600931184736282,36.80930130320679,11.02108577255586,50,100,100,85,0,0.95,100,0.1,0.4,4.300000000000001
11.009236455977375,21.740523829958367,5.617060590305142,50,100,100,85,0,0.95,100,0.1,0.4,4.4
11.843686039970324,26.493320320020874,6.042807997183524,50,100,100,85,0,0.95,100,0.1,0.4,4.5
12.050929117414274,19.593994031200086,6.1485462041499055,50,100,100,85,0,0.95,100,0.1,0.4,4.6000000000000005
28.2218169923391,39.90293867702518,14.399150808356273,50,100,100,85,0,0.95,100,0.1,0.4,4.7
