S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,H_log,best_beta,error_percent,q,Product
300,300,0.1,50,5,273.0,0.3,250,75.2698,53.03070113567506,75.12290851074573,9.0,0.09431067947124129,0.5889,0.19515328757917882,0,0.09486832980505137
300,300,0.1,50,5,273.0,0.4,250,72.4758,44.713346820441714,71.59379832954593,9.0,0.09431067947124129,0.601,1.216960241148181,0,0.1264911064067352
300,300,0.1,50,5,273.0,0.5,250,72.8301,39.96695961176289,71.19381564238796,9.0,0.09431067947124129,0.611,2.246714418368286,0,0.15811388300841897
300,300,0.1,50,4,274.0,0.3,250,66.6037,47.96512045732649,66.51808282613521,8.6667,0.09065436826813084,0.5889,0.12854717360265297,0,0.0848528137423857
300,300,0.1,50,4,274.0,0.4,250,64.8389,41.217714107985,64.26263401156478,8.6667,0.09065436826813084,0.599,0.8887658310600741,0,0.1131370849898476
300,300,0.1,50,4,274.0,0.5,250,65.618,37.29979088626685,64.4446558837543,8.6667,0.09065436826813084,0.6109,1.7881436743663344,0,0.1414213562373095
300,300,0.1,50,5,274.0,0.3,250,74.0955,51.360962368592425,73.83146888823227,8.6667,0.09065436826813084,0.59,0.3563389298509837,0,0.09486832980505137
300,300,0.1,50,5,274.0,0.4,250,71.3112,43.20905316488441,70.4054214910311,8.6667,0.09065436826813084,0.601,1.2701770675137896,0,0.1264911064067352
300,300,0.1,50,5,274.0,0.5,250,71.8647,38.57706862341729,70.0855110250782,8.6667,0.09065436826813084,0.611,2.475748141885786,0,0.15811388300841897
300,300,0.1,50,4,275.0,0.3,250,65.3834,46.40890169122814,65.30359647877351,8.3333,0.08701137698962981,0.5889,0.12205471301045942,0,0.0848528137423857
300,300,0.1,50,4,275.0,0.4,250,63.7293,39.78623046830171,63.122457016116584,8.3333,0.08701137698962981,0.5999,0.9522197543098978,0,0.1131370849898476
300,300,0.1,50,4,275.0,0.5,250,64.6841,35.9590636480164,63.36643514042015,8.3333,0.08701137698962981,0.611,2.0370769007837315,0,0.1414213562373095
300,300,0.1,50,5,275.0,0.3,250,72.8767,49.6695369772804,72.5222324545503,8.3333,0.08701137698962981,0.591,0.48639351870994973,0,0.09486832980505137
300,300,0.1,50,5,275.0,0.4,250,70.3113,41.69311108355639,69.2071198595114,8.3333,0.08701137698962981,0.609,1.5704163349114704,0,0.1264911064067352
300,300,0.1,50,5,275.0,0.5,250,70.7297,37.18010342562519,68.97103490323587,8.3333,0.08701137698962981,0.611,2.486459149076158,0,0.15811388300841897
300,300,0.1,50,4,276.0,0.3,250,64.2229,44.83057762304618,64.07070167528764,8.0,0.08338160893905101,0.5889,0.23698450975019597,0,0.0848528137423857
300,300,0.1,50,4,276.0,0.4,250,62.6808,38.34246827854899,61.971669944728134,8.0,0.08338160893905101,0.601,1.131335361501231,0,0.1131370849898476
300,300,0.1,50,4,276.0,0.5,250,63.7695,34.61069056621774,62.28144478427194,8.0,0.08338160893905101,0.611,2.3334904864050374,0,0.1414213562373095
300,300,0.1,50,5,276.0,0.3,250,71.6308,47.95630694883181,71.19509138428205,8.0,0.08338160893905101,0.5989,0.6082699281844436,0,0.09486832980505137
300,300,0.1,50,5,276.0,0.4,250,69.1395,40.16551614374815,67.99888474614565,8.0,0.08338160893905101,0.6099,1.6497302610726856,0,0.1264911064067352
300,300,0.1,50,5,276.0,0.5,250,69.6563,35.776078759733196,67.85039767046189,8.0,0.08338160893905101,0.611,2.5925900881013115,0,0.15811388300841897
300,300,0.1,50,4,277.0,0.3,250,63.0843,43.230020543693,62.81927725603899,7.6667,0.07976496846886255,0.591,0.4201088764732461,0,0.0848528137423857
300,300,0.1,50,4,277.0,0.4,250,61.6334,36.8864220583844,60.81026106391151,7.6667,0.07976496846886255,0.6089,1.3355403662437744,0,0.1131370849898476
300,300,0.1,50,4,277.0,0.5,250,62.6888,33.254688268705394,61.18969578781936,7.6667,0.07976496846886255,0.611,2.391342970643305,0,0.1414213562373095
300,300,0.1,50,5,277.0,0.3,250,70.2452,46.22115484391705,69.84993838821984,7.6667,0.07976496846886255,0.591,0.5626884282202298,0,0.09486832980505137
300,300,0.1,50,5,277.0,0.4,250,68.0373,38.62626417480783,66.78070775504216,7.6667,0.07976496846886255,0.611,1.8469166838746447,0,0.1264911064067352
