H,T,S0,K,m,sigma,price_iter,accuracy,best_beta,Average Error,price,price_adj,H_log,error_percent,Product,q
172,0.2,200,200,50,0.4,15.70163,0.00317,0.5889,0.02868,15.45904,15.70614,0.15082289,0.02872313,0.02529822,0
172,0.2,200,200,50,0.45,17.078,0.00359,0.5889,0.02823,16.67372,17.08282,0.15082289,0.02822345,0.0284605,0
172,0.2,200,200,50,0.5,18.34227,0.00401,0.5889,0.02038,17.74056,18.34601,0.15082289,0.02039006,0.03162278,0
172,0.2,200,200,50,0.55,19.49268,0.00444,0.5889,0.06111,18.67486,19.5046,0.15082289,0.06115116,0.03478505,0
172,0.8,200,200,50,0.2,22.19301,0.00364,0.5889,0.01364,21.90347,22.19604,0.15082289,0.01365295,0.02529822,0
172,0.8,200,200,50,0.25,24.36213,0.0045,0.5889,0.01567,23.64935,24.36595,0.15082289,0.01568007,0.03162278,0
172,0.8,200,200,50,0.3,26.14967,0.00538,0.5889,0.05658,24.90214,26.16446,0.15082289,0.05655903,0.03794733,0
172,0.8,200,200,50,0.35,27.6577,0.00627,0.5889,0.05407,25.79594,27.67265,0.15082289,0.05405366,0.04427189,0
172,0.8,200,200,50,0.4,28.9516,0.00718,0.5889,0.06115,26.44154,28.96931,0.15082289,0.06117106,0.05059644,0
172,0.8,200,200,50,0.45,30.08673,0.0081,0.5889,0.08955,26.91612,30.11367,0.15082289,0.08954114,0.056921,0
172,0.8,200,200,50,0.5,31.10588,0.00903,0.5889,0.13358,27.27129,31.14743,0.15082289,0.13357603,0.06324555,0
172,0.8,200,200,50,0.55,32.05815,0.01,0.5889,0.12914,27.54157,32.09955,0.15082289,0.12914033,0.06957011,0
172,1.4,200,200,50,0.2,31.56435,0.0052,0.5889,0.06284,30.60545,31.58419,0.15082289,0.06285572,0.0334664,0
172,1.4,200,200,50,0.25,33.05731,0.0064,0.5889,0.03443,31.21572,33.06869,0.15082289,0.03442506,0.041833,0
172,1.4,200,200,50,0.3,34.21978,0.00761,0.5889,0.06468,31.44014,34.24192,0.15082289,0.06469942,0.0501996,0
172,1.4,200,200,50,0.35,35.21165,0.00884,0.5889,0.06528,31.46599,35.23464,0.15082289,0.06529089,0.0585662,0
172,1.4,200,200,50,0.4,36.06795,0.0101,0.5889,0.15861,31.39369,36.12516,0.15082289,0.15861728,0.0669328,0
172,1.4,200,200,50,0.45,36.88644,0.0114,0.5889,0.19276,31.27516,36.95754,0.15082289,0.19275376,0.0752994,0
172,1.4,200,200,50,0.5,37.68758,0.01278,0.5889,0.18282,31.13726,37.75648,0.15082289,0.18281885,0.083666,0
172,1.4,200,200,50,0.55,38.43025,0.01423,0.5889,0.27513,30.99391,38.53598,0.15082289,0.27512181,0.0920326,0
172,2.0,200,200,50,0.2,39.37474,0.00655,0.5889,0.05123,37.57295,39.39492,0.15082289,0.05125113,0.04,0
172,2.0,200,200,50,0.25,39.95523,0.00803,0.5889,0.09919,36.91721,39.99486,0.15082289,0.09918601,0.05,0
172,2.0,200,200,50,0.3,40.43834,0.00953,0.5889,0.11344,36.14781,40.48421,0.15082289,0.11343196,0.06,0
172,2.0,200,200,50,0.35,40.90369,0.01105,0.5889,0.1542,35.40625,40.96676,0.15082289,0.15419147,0.07,0
172,2.0,200,200,50,0.4,41.39696,0.01265,0.5889,0.20302,34.73646,41.481,0.15082289,0.20301008,0.08,0
172,2.0,200,200,50,0.45,41.94996,0.01434,0.5889,0.2087,34.14552,42.03751,0.15082289,0.20870103,0.09,0
172,2.0,200,200,50,0.5,42.51975,0.01616,0.5889,0.27327,33.62785,42.63594,0.15082289,0.27326125,0.1,0
172,2.0,200,200,50,0.55,43.14424,0.01815,0.5889,0.29625,33.17438,43.27206,0.15082289,0.29626203,0.11,0
172,2.6,200,200,50,0.2,46.2277,0.00777,0.5889,0.05971,43.51944,46.25531,0.15082289,0.05972609,0.04560702,0
172,2.6,200,200,50,0.25,45.88365,0.00951,0.5889,0.096,41.60711,45.9277,0.15082289,0.0960037,0.05700877,0
172,2.6,200,200,50,0.3,45.6891,0.01126,0.5889,0.11312,39.9101,45.74078,0.15082289,0.11311232,0.06841053,0
172,2.6,200,200,50,0.35,45.64315,0.01307,0.5889,0.20687,38.4817,45.73758,0.15082289,0.20688756,0.07981228,0
172,2.6,200,200,50,0.4,45.78202,0.01501,0.5889,0.26328,37.29336,45.90256,0.15082289,0.26329113,0.09121403,0
172,2.6,200,200,50,0.45,46.06462,0.01711,0.5889,0.31004,36.30208,46.20744,0.15082289,0.31004272,0.10261579,0
172,2.6,200,200,50,0.5,46.50408,0.01942,0.5889,0.26018,35.46876,46.62508,0.15082289,0.26019222,0.11401754,0
172,2.6,200,200,50,0.55,47.04266,0.02201,0.5889,0.19154,34.76168,47.13277,0.15082289,0.19154954,0.1254193,0
172,3.2,200,200,50,0.2,52.40643,0.0089,0.5889,0.07819,48.76289,52.44741,0.15082289,0.07819651,0.05059644,0
172,3.2,200,200,50,0.25,51.14931,0.01088,0.5889,0.08723,45.63491,51.19393,0.15082289,0.0872348,0.06324555,0
172,3.2,200,200,50,0.3,50.2718,0.01288,0.5889,0.15868,43.07228,50.35157,0.15082289,0.15867743,0.07589466,0
172,3.2,200,200,50,0.35,49.7571,0.01498,0.5889,0.26062,41.01966,49.88678,0.15082289,0.26062612,0.08854377,0
172,3.2,200,200,50,0.4,49.62878,0.01728,0.5889,0.19239,39.36958,49.72426,0.15082289,0.19238837,0.10119289,0
172,3.2,200,200,50,0.45,49.70508,0.01983,0.5889,0.18137,38.02771,49.79523,0.15082289,0.18136979,0.113842,0
172,3.2,200,200,50,0.5,49.9187,0.02265,0.5889,0.25431,36.92181,50.04565,0.15082289,0.25431351,0.12649111,0
172,3.2,200,200,50,0.55,50.37055,0.02594,0.5889,0.12739,35.99841,50.43472,0.15082289,0.12739587,0.13914022,0
172,3.8,200,200,50,0.2,58.05349,0.00995,0.5889,0.12159,53.4747,58.12408,0.15082289,0.12159476,0.0551362,0
172,3.8,200,200,50,0.25,55.88802,0.01215,0.5889,0.13574,49.1809,55.96388,0.15082289,0.13573571,0.06892024,0
172,3.8,200,200,50,0.3,54.38223,0.0144,0.5889,0.19902,45.80811,54.49046,0.15082289,0.19901722,0.08270429,0
172,3.8,200,200,50,0.35,53.47797,0.01681,0.5889,0.20294,43.18223,53.5865,0.15082289,0.20294338,0.09648834,0
172,3.8,200,200,50,0.4,52.95298,0.01945,0.5889,0.30581,41.11457,53.11492,0.15082289,0.30581848,0.11027239,0
172,3.8,200,200,50,0.45,52.82843,0.02248,0.5889,0.26097,39.45973,52.9663,0.15082289,0.2609769,0.12405644,0
172,3.8,200,200,50,0.5,52.98276,0.02598,0.5889,0.14606,38.11326,53.06015,0.15082289,0.14606638,0.13784049,0
172,3.8,200,200,50,0.55,53.28272,0.02996,0.5889,0.10405,37.00089,53.33816,0.15082289,0.10404874,0.15162454,0
172,4.4,200,200,50,0.2,63.2986,0.01094,0.5889,0.12712,57.75969,63.37906,0.15082289,0.12711182,0.05932959,0
172,4.4,200,200,50,0.25,60.23209,0.01336,0.5889,0.17823,52.3522,60.33944,0.15082289,0.17822725,0.07416198,0
172,4.4,200,200,50,0.3,58.12687,0.01586,0.5889,0.2296,48.21916,58.26033,0.15082289,0.22960122,0.08899438,0
172,4.4,200,200,50,0.35,56.79668,0.01859,0.5889,0.24902,45.06314,56.93811,0.15082289,0.24901103,0.10382678,0
172,4.4,200,200,50,0.4,56.0391,0.02165,0.5889,0.24035,42.61407,56.17379,0.15082289,0.24035004,0.11865918,0
172,4.4,200,200,50,0.45,55.75984,0.02525,0.5889,0.10418,40.67643,55.81793,0.15082289,0.10417892,0.13349157,0
172,4.4,200,200,50,0.5,55.75248,0.0294,0.5889,0.0212,39.11466,55.76429,0.15082289,0.02118291,0.14832397,0
172,4.4,200,200,50,0.55,56.00047,0.03435,0.591,0.00969,37.83466,55.99504,0.15082289,0.00969635,0.16315637,0
172,5.0,200,200,50,0.2,68.19366,0.01188,0.5889,0.11956,61.68795,68.27519,0.15082289,0.11955657,0.06324555,0
