S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent
110,100,0.1,50,0.6,118,0.2,250,1.1418473667911258,0.8173,1.1595,-7.2727
110,100,0.1,50,0.6,118,0.3,250,0.48314447519662734,0.2901,0.4966,-7.2727
110,100,0.1,50,0.6,118,0.4,250,0.25470053729121267,0.1305,0.2665,-7.2727
110,100,0.1,50,0.6,118,0.5,250,0.15624337847978503,0.0686,0.1655,-7.2727
110,100,0.1,50,0.6,118,0.6,250,0.10469445981949724,0.0401,0.1134,-7.2727
110,100,0.1,50,1.0,118,0.2,250,0.6067081940759951,0.3882,0.621,-7.2727
110,100,0.1,50,1.0,118,0.3,250,0.2598343202662195,0.1347,0.2707,-7.2727
110,100,0.1,50,1.0,118,0.4,250,0.14000406402753596,0.0598,0.1489,-7.2727
110,100,0.1,50,1.0,118,0.5,250,0.08702991376680909,0.0311,0.0948,-7.2727
110,100,0.1,50,1.0,118,0.6,250,0.05936605578342281,0.018,0.0665,-7.2727
110,100,0.1,50,1.4,118,0.2,250,0.38645184659939447,0.2273,0.3993,-7.2727
110,100,0.1,50,1.4,118,0.3,250,0.17004350582713582,0.0791,0.1801,-7.2727
110,100,0.1,50,1.4,118,0.4,250,0.09335462394812451,0.0351,0.1016,-7.2727
110,100,0.1,50,1.4,118,0.5,250,0.059524485654254874,0.0182,0.0661,-7.2727
110,100,0.1,50,1.4,118,0.6,250,0.04104676873734936,0.0105,0.0472,-7.2727
110,100,0.1,50,1.8,118,0.2,250,0.2714048936885036,0.1486,0.2822,-7.2727
110,100,0.1,50,1.8,118,0.3,250,0.12345198928489189,0.0524,0.1322,-7.2727
110,100,0.1,50,1.8,118,0.4,250,0.06942137718943123,0.0232,0.0764,-7.2727
110,100,0.1,50,1.8,118,0.5,250,0.04460684014576387,0.012,0.0506,-7.2727
110,100,0.1,50,1.8,118,0.6,250,0.03143907145820327,0.0069,0.0367,-7.2727
110,100,0.1,50,2.2,118,0.2,250,0.2010604069262872,0.1039,0.2112,-7.2727
110,100,0.1,50,2.2,118,0.3,250,0.09536215716899377,0.0373,0.1029,-7.2727
110,100,0.1,50,2.2,118,0.4,250,0.05501322914540003,0.0166,0.0608,-7.2727
110,100,0.1,50,2.2,118,0.5,250,0.03530944819676595,0.0086,0.0409,-7.2727
